feature,lightgbm_gain
G042,350.1913433074951
G033,321.12009048461914
G039,204.98238015174866
G038,189.9321814775467
G036,146.9228613972664
G003,116.67571830749512
G007,87.08237075805664
G002,68.56890803575516
G034,58.36424970626831
G032,45.989219665527344
G040,44.12054160237312
G030,38.3248840123415
G043,34.35219419002533
G130,28.64460438489914
G031,25.990840077400208
G108,24.575675010681152
G014,24.06577968597412
G008,21.342012863606215
G013,20.854649543762207
G044,17.965109825134277
G025,17.064470052719116
G020,12.389740228652954
G019,11.386099815368652
G187,9.155349731445312
G161,7.833099842071533
G037,7.688830137252808
G224,6.0887898206710815
G024,5.636270046234131
G126,5.62040787935257
G173,5.367009878158569
G168,5.093459963798523
G166,4.450679779052734
G304,4.313270092010498
G088,4.267280101776123
G238,4.197668075561523
G021,3.97799015045166
G141,3.1297199726104736
G233,2.9915000200271606
G138,2.761080026626587
G299,2.7462899684906006
G029,2.412816047668457
G291,2.3874900341033936
G262,2.3135299682617188
G212,2.2434499263763428
G000,1.8853800296783447
G157,1.8145699501037598
G016,1.806278944015503
G035,1.6774300336837769
G301,1.6677019596099854
G285,1.630660057067871
G156,1.385159969329834
G005,1.34211003780365
G200,1.3195699453353882
G155,1.2984000444412231
G290,1.1771399974822998
G087,1.1480499505996704
G107,0.9881889820098877
G227,0.9550520181655884
G073,0.919510006904602
G074,0.875128984451294
G045,0.8538839817047119
G239,0.6531220078468323
G163,0.5565119981765747
G062,0.5418720245361328
G055,0.4997589886188507
G247,0.43027400970458984
G041,0.351298987865448
G097,0.26596699655056
G240,0.18415799736976624
G236,0.0818822979927063
G222,0.0
G215,0.0
G214,0.0
G228,0.0
G225,0.0
G217,0.0
G216,0.0
G226,0.0
G218,0.0
G219,0.0
G220,0.0
G223,0.0
G221,0.0
G213,0.0
G194,0.0
G211,0.0
G210,0.0
G181,0.0
G182,0.0
G183,0.0
G184,0.0
G185,0.0
G186,0.0
G188,0.0
G189,0.0
G190,0.0
G191,0.0
G192,0.0
G193,0.0
G230,0.0
G195,0.0
G196,0.0
G197,0.0
G198,0.0
G199,0.0
G201,0.0
G202,0.0
G203,0.0
G204,0.0
G205,0.0
G206,0.0
G207,0.0
G208,0.0
G209,0.0
G229,0.0
G254,0.0
G231,0.0
G286,0.0
G272,0.0
G273,0.0
G274,0.0
G275,0.0
G276,0.0
G277,0.0
G278,0.0
G279,0.0
G280,0.0
G281,0.0
G282,0.0
G283,0.0
G284,0.0
G287,0.0
G270,0.0
G288,0.0
G289,0.0
G292,0.0
G293,0.0
G294,0.0
G295,0.0
G296,0.0
G297,0.0
G298,0.0
G300,0.0
G302,0.0
G303,0.0
age,0.0
G271,0.0
G269,0.0
G232,0.0
G252,0.0
G234,0.0
G235,0.0
G237,0.0
G241,0.0
G242,0.0
G243,0.0
G244,0.0
G245,0.0
G246,0.0
G248,0.0
G249,0.0
G250,0.0
G251,0.0
G253,0.0
G268,0.0
G179,0.0
G255,0.0
G256,0.0
G257,0.0
G258,0.0
G259,0.0
G260,0.0
G261,0.0
G263,0.0
G264,0.0
G265,0.0
G266,0.0
G267,0.0
G180,0.0
G153,0.0
G178,0.0
G081,0.0
G066,0.0
G067,0.0
G068,0.0
G069,0.0
G070,0.0
G071,0.0
G072,0.0
G075,0.0
G076,0.0
G077,0.0
G078,0.0
G079,0.0
G080,0.0
G082,0.0
G064,0.0
G083,0.0
G084,0.0
G085,0.0
G086,0.0
G089,0.0
G090,0.0
G091,0.0
G092,0.0
G093,0.0
G094,0.0
G095,0.0
G096,0.0
G098,0.0
G065,0.0
G063,0.0
G100,0.0
G028,0.0
G004,0.0
G006,0.0
G009,0.0
G010,0.0
G011,0.0
G012,0.0
G015,0.0
G017,0.0
G018,0.0
G022,0.0
G023,0.0
G026,0.0
G027,0.0
G046,0.0
G061,0.0
G047,0.0
G048,0.0
G049,0.0
G050,0.0
G051,0.0
G052,0.0
G053,0.0
G054,0.0
G056,0.0
G057,0.0
G058,0.0
G059,0.0
G060,0.0
G099,0.0
G101,0.0
G177,0.0
G154,0.0
G140,0.0
G142,0.0
G143,0.0
G144,0.0
G145,0.0
G146,0.0
G147,0.0
G148,0.0
G149,0.0
G150,0.0
G151,0.0
G152,0.0
G001,0.0
G158,0.0
G137,0.0
G159,0.0
G160,0.0
G162,0.0
G164,0.0
G165,0.0
G167,0.0
G169,0.0
G170,0.0
G171,0.0
G172,0.0
G174,0.0
G175,0.0
G176,0.0
G139,0.0
G136,0.0
G102,0.0
G118,0.0
G103,0.0
G104,0.0
G105,0.0
G106,0.0
G109,0.0
G110,0.0
G111,0.0
G112,0.0
G113,0.0
G114,0.0
G115,0.0
G116,0.0
G117,0.0
G119,0.0
G135,0.0
G120,0.0
G121,0.0
G122,0.0
G123,0.0
G124,0.0
G125,0.0
G127,0.0
G128,0.0
G129,0.0
G131,0.0
G132,0.0
G133,0.0
G134,0.0
sex,0.0
